,invar_width0,invar_vol0,invar_d50,invar_cumPxs,invar_WIH3,invar_maxTWL,outvar_dVBp,input_num,output_num,stat_skMean_mean,stat_skMean_median,stat_skMean_std,stat_rmseM_mean,stat_rmseM_median,stat_rmseM_std,stat_logloss_mean,stat_logloss_median,stat_logloss_std,stat_errrate_mean,stat_errrate_median,stat_errrate_std,stat_quadloss_mean,stat_quadloss_median,stat_quadloss_std
0,True,False,False,False,False,False,True,1,1,0.142780941681,0.142780941681,0.0283565245851,inf,inf,,1.19812892275,1.19812892275,0.0376801951852,0.533916768647,0.533916768647,0.0281988525095,0.66150884067,0.66150884067,0.0193854526185
1,False,True,False,False,False,False,True,1,1,0.270817810007,0.270817810007,0.0743936142715,inf,inf,,1.06935396161,1.06935396161,0.0140790399004,0.450628047856,0.450628047856,0.00243828505982,0.596883509973,0.596883509973,0.00501798050856
2,False,False,True,False,False,False,True,1,1,0.0596810323056,0.0596810323056,0.000712675812813,inf,inf,,1.23058374115,1.23058374115,0.00337264360379,0.544375,0.544375,0.000625,0.672877046848,0.672877046848,0.000710082277219
3,False,False,False,True,False,False,True,1,1,0.176734577289,0.176734577289,0.0110262219509,inf,inf,,1.16431153479,1.16431153479,0.0130669175895,0.504980476532,0.504980476532,0.0156187744043,0.643834389297,0.643834389297,0.00849634139127
4,False,False,False,False,True,False,True,1,1,0.0837475476057,0.0837475476057,0.000630367570506,inf,inf,,1.19209051483,1.19209051483,0.0144880781202,0.530609422827,0.530609422827,0.0124617382215,0.652347212574,0.652347212574,0.0100559591877
5,False,False,False,False,False,True,True,1,1,0.128389916645,0.128389916645,0.00485453230764,inf,inf,,1.17749641343,1.17749641343,0.0256840054928,0.507524230507,0.507524230507,0.0193844052881,0.644011259165,0.644011259165,0.0107255106847
6,True,True,False,False,False,False,True,2,1,0.330180866748,0.330180866748,0.00874862273126,inf,inf,,1.03076720594,1.03076720594,0.0284629023978,0.447092336444,0.447092336444,0.0289781925233,0.582772850383,0.582772850383,0.0167178128582
7,True,False,True,False,False,False,True,2,1,0.196832329269,0.196832329269,0.021646361937,inf,inf,,1.14564639063,1.14564639063,0.0137698498817,0.508794654925,0.508794654925,0.011907979956,0.63740143859,0.63740143859,0.00820535403536
8,True,False,False,True,False,False,True,2,1,0.240442418552,0.240442418552,0.000241820762707,inf,inf,,1.12956775354,1.12956775354,0.0110772584816,0.514441730695,0.514441730695,0.00762636514358,0.631888987981,0.631888987981,0.00529562142548
9,True,False,False,False,True,False,True,2,1,0.133591437386,0.133591437386,0.00465122284185,inf,inf,,1.17471599739,1.17471599739,0.0154555469925,0.545430033996,0.545430033996,0.0103981868626,0.647278552949,0.647278552949,0.0071049382846
10,True,False,False,False,False,True,True,2,1,0.160918817866,0.160918817866,0.00170497962938,inf,inf,,1.16180375009,1.16180375009,0.00330544304739,0.52753555243,0.52753555243,0.00284419440538,0.640506947714,0.640506947714,0.00217358193369
11,False,True,True,False,False,False,True,2,1,0.285303508832,0.285303508832,0.0179028172204,inf,inf,,1.02253381587,1.02253381587,0.0137963028469,0.438735888121,0.438735888121,0.00225790069925,0.572531499016,0.572531499016,0.00665118880244
12,False,True,False,True,False,False,True,2,1,0.372274208851,0.372274208851,0.000842695017,inf,inf,,0.994527350989,0.994527350989,0.000484511622681,0.428755804724,0.428755804724,0.00232188951181,0.563425873115,0.563425873115,0.00182033379987
13,False,True,False,False,True,False,True,2,1,0.306305771757,0.306305771757,0.0594551071498,inf,inf,,1.01886928432,1.01886928432,0.0149377794147,0.445748510854,0.445748510854,0.0164681138314,0.578662273669,0.578662273669,0.011403059231
14,False,True,False,False,False,True,True,2,1,0.343793769406,0.343793769406,0.0189182470422,inf,inf,,1.00213468823,1.00213468823,0.0024767385578,0.43137990311,0.43137990311,0.0103922487889,0.571572839117,0.571572839117,0.00224712782804
15,False,False,True,True,False,False,True,2,1,0.181472176419,0.181472176419,0.0225444792899,inf,inf,,1.14413672254,1.14413672254,0.0245091868735,0.497593614641,0.497593614641,0.0124819521098,0.634440978565,0.634440978565,0.0106920698299
16,False,False,True,False,True,False,True,2,1,0.166425696507,0.166425696507,0.0365724747923,inf,inf,,1.14933064557,1.14933064557,0.00435841281837,0.491821670542,0.491821670542,0.0106658916473,0.633877838489,0.633877838489,0.00213175227301
17,False,False,True,False,False,True,True,2,1,0.189217946678,0.189217946678,0.0332741433202,inf,inf,,1.14372759648,1.14372759648,0.0203947120819,0.5049879988,0.5049879988,0.001200120012,0.63227370111,0.63227370111,0.00515570940895
18,False,False,False,True,True,False,True,2,1,0.235421942996,0.235421942996,0.0520317647858,inf,inf,,1.11691355112,1.11691355112,0.00101592578273,0.514996968731,0.514996968731,0.00121250757817,0.622086762511,0.622086762511,0.00403337644362
19,False,False,False,True,False,True,True,2,1,0.235474772295,0.235474772295,0.000896865980645,inf,inf,,1.11553498626,1.11553498626,0.0117033288438,0.504368756826,0.504368756826,0.00499453905397,0.619470009708,0.619470009708,0.00597735170596
20,False,False,False,False,True,True,True,2,1,0.134287382174,0.134287382174,0.00202727262661,inf,inf,,1.17273399124,1.17273399124,0.0224470545276,0.529475694233,0.529475694233,0.0115079123245,0.645962695397,0.645962695397,0.0144932453276
21,True,True,True,False,False,False,True,3,1,0.33887149432,0.33887149432,0.00509708303288,inf,inf,,0.980352588711,0.980352588711,0.0108674057396,0.412514707054,0.412514707054,0.0117656433838,0.548418760336,0.548418760336,0.00743668294775
22,True,True,False,True,False,False,True,3,1,0.395215452995,0.395215452995,0.0129915395774,inf,inf,,0.976097742202,0.976097742202,0.0159079758076,0.42928195961,0.42928195961,0.0124053853029,0.556850835862,0.556850835862,0.00844828067466
23,True,True,False,False,True,False,True,3,1,0.347374603042,0.347374603042,0.0112276192157,inf,inf,,0.993126470233,0.993126470233,0.0145161371287,0.43924762686,0.43924762686,0.0203797023321,0.566306238121,0.566306238121,0.0104735064796
24,True,True,False,False,False,True,True,3,1,0.356058936803,0.356058936803,0.00648453864329,inf,inf,,1.00411076074,1.00411076074,0.0121865061091,0.428024430497,0.428024430497,0.00670463354255,0.568934949745,0.568934949745,0.00546685398896
25,True,False,True,True,False,False,True,3,1,0.253476978955,0.253476978955,0.0241652100745,inf,inf,,1.09891912512,1.09891912512,0.0160451349913,0.467320036752,0.467320036752,0.0239950997244,0.614563226971,0.614563226971,0.009353892004
26,True,False,True,False,True,False,True,3,1,0.191782348475,0.191782348475,0.0248296827323,inf,inf,,1.12726414749,1.12726414749,0.0160539308661,0.477470931368,0.477470931368,0.00332212935053,0.624167338696,0.624167338696,0.00348019046328
27,True,False,True,False,False,True,True,3,1,0.210632882297,0.210632882297,0.00318889506642,inf,inf,,1.12570203265,1.12570203265,0.0173183258876,0.488605023634,0.488605023634,0.0231962186023,0.624291685717,0.624291685717,0.0125037397689
28,True,False,False,True,True,False,True,3,1,0.251550084592,0.251550084592,0.00743151178219,inf,inf,,1.1101397501,1.1101397501,0.00484309568144,0.490037250931,0.490037250931,0.00745018625466,0.618527806781,0.618527806781,0.0047281762651
29,True,False,False,True,False,True,True,3,1,0.246244262659,0.246244262659,0.0137899112049,inf,inf,,1.10864286609,1.10864286609,0.0130815751238,0.481827415133,0.481827415133,0.00761357865542,0.614546954807,0.614546954807,0.00477704740995
30,True,False,False,False,True,True,True,3,1,0.147468743543,0.147468743543,0.00100701635489,inf,inf,,1.18235179326,1.18235179326,0.016737162644,0.539358058488,0.539358058488,0.00677660485378,0.650263412145,0.650263412145,0.00757381733528
31,False,True,True,True,False,False,True,3,1,0.333258823662,0.333258823662,0.0254260628037,inf,inf,,0.966297763571,0.966297763571,0.0105659840922,0.411840306262,0.411840306262,0.00555099808586,0.546221132232,0.546221132232,0.00261687995396
32,False,True,True,False,True,False,True,3,1,0.32146547949,0.32146547949,0.0458169340196,inf,inf,,0.984104563765,0.984104563765,0.0116483633174,0.421792449734,0.421792449734,0.00943431606482,0.550066923835,0.550066923835,0.00664615265513
33,False,True,True,False,False,True,True,3,1,0.330994553836,0.330994553836,0.0015486762482,inf,inf,,0.982855114472,0.982855114472,0.00220343463747,0.423119831999,0.423119831999,0.00206720042,0.551554547763,0.551554547763,0.00288980769913
34,False,True,False,True,True,False,True,3,1,0.388732383095,0.388732383095,0.0112248100578,inf,inf,,0.969862225241,0.969862225241,0.00239747909874,0.418132300827,0.418132300827,0.00292033075207,0.553189854525,0.553189854525,0.000245175396965
35,False,True,False,True,False,True,True,3,1,0.37881181455,0.37881181455,0.000428083391198,inf,inf,,0.988927240322,0.988927240322,0.0112143330161,0.429358654022,0.429358654022,0.00186811177731,0.561498056913,0.561498056913,0.00124565565531
36,False,True,False,False,True,True,True,3,1,0.336569521224,0.336569521224,0.0214535268298,inf,inf,,1.0068284925,1.0068284925,0.0207764355325,0.43,0.43,0.02,0.575216853049,0.575216853049,0.0135196440522
37,False,False,True,True,True,False,True,3,1,0.244693836934,0.244693836934,0.0155230804754,inf,inf,,1.08424772149,1.08424772149,0.0209113417289,0.470554273419,0.470554273419,0.0188604214747,0.605026399897,0.605026399897,0.0131037436121
38,False,False,True,True,False,True,True,3,1,0.246922431371,0.246922431371,0.00748480892537,inf,inf,,1.07497801216,1.07497801216,0.00396185857564,0.460596320886,0.460596320886,0.00764776379668,0.598837002532,0.598837002532,0.00364933042569
39,False,False,True,False,True,True,True,3,1,0.180898119263,0.180898119263,0.0243176749972,inf,inf,,1.15373535378,1.15373535378,0.0187053251668,0.505573751023,0.505573751023,0.00683319686732,0.635520211675,0.635520211675,0.0111671211343
40,False,False,False,True,True,True,True,3,1,0.251508263572,0.251508263572,0.0225662698407,inf,inf,,1.1144594791,1.1144594791,0.00274743599039,0.49999296786,0.49999296786,0.000625079111575,0.617398399076,0.617398399076,0.00100648783364
41,True,True,True,True,False,False,True,4,1,0.31532048229,0.31532048229,0.00233394559233,inf,inf,,0.959148547256,0.959148547256,0.00295005368968,0.40937912112,0.40937912112,0.0016484478028,0.537820382473,0.537820382473,0.00194007634114
42,True,True,True,False,True,False,True,4,1,0.326914374958,0.326914374958,0.0260244105552,inf,inf,,0.987763895646,0.987763895646,0.00411638918588,0.405002195316,0.405002195316,0.00175625274414,0.547726770932,0.547726770932,0.00305142879573
43,True,True,True,False,False,True,True,4,1,0.325863084863,0.325863084863,0.031364128137,inf,inf,,1.00417800406,1.00417800406,0.0181229435194,0.43041881544,0.43041881544,0.016494764807,0.558876025835,0.558876025835,0.00939406495458
44,True,True,False,True,True,False,True,4,1,0.40256920901,0.40256920901,0.0217066530955,inf,inf,,0.97906722784,0.97906722784,0.00605902770296,0.431897479808,0.431897479808,0.00599461554928,0.56145945897,0.56145945897,0.00395830707705
45,True,True,False,True,False,True,True,4,1,0.385039528174,0.385039528174,0.0177607057566,inf,inf,,0.981876955101,0.981876955101,0.00323682048891,0.438581358136,0.438581358136,0.0168641864186,0.557060530085,0.557060530085,0.00205785676036
46,True,True,False,False,True,True,True,4,1,0.352637212194,0.352637212194,0.00921885455325,inf,inf,,1.00920933168,1.00920933168,0.00406086838416,0.434411577663,0.434411577663,0.00975404341624,0.572746684112,0.572746684112,0.00596962456227
47,True,False,True,True,True,False,True,4,1,0.25159552,0.25159552,0.00306664098589,inf,inf,,1.09673473335,1.09673473335,0.0253114515792,0.460584313413,0.460584313413,0.0325492696082,0.609874318429,0.609874318429,0.0155555715573
48,True,False,True,True,False,True,True,4,1,0.240126337504,0.240126337504,0.0114695493158,inf,inf,,1.09220385166,1.09220385166,0.00314625043888,0.475672237123,0.475672237123,0.00269926414965,0.606197132444,0.606197132444,0.00478019845796
49,True,False,True,False,True,True,True,4,1,0.225378986903,0.225378986903,0.043326617497,inf,inf,,1.13466184631,1.13466184631,0.0253107074108,0.483672426643,0.483672426643,0.0206862284001,0.628581604071,0.628581604071,0.0132335237843
50,True,False,False,True,True,True,True,4,1,0.262244916658,0.262244916658,0.0178490681347,inf,inf,,1.10170263183,1.10170263183,0.00853145248021,0.486890112895,0.486890112895,0.00241806320559,0.614121756166,0.614121756166,0.00320808502221
51,False,True,True,True,True,False,True,4,1,0.331085853305,0.331085853305,0.0385778542379,inf,inf,,0.977894747488,0.977894747488,0.0177173811946,0.418816881688,0.418816881688,0.00668816881688,0.545521885438,0.545521885438,0.00781428114119
52,False,True,True,True,False,True,True,4,1,0.34736654276,0.34736654276,0.00695464845158,inf,inf,,0.975047483915,0.975047483915,0.0117805795982,0.420642634037,0.420642634037,0.00470240987764,0.546430067372,0.546430067372,0.00533260453401
53,False,True,True,False,True,True,True,4,1,0.292199375959,0.292199375959,0.0120578597593,inf,inf,,1.00243931794,1.00243931794,0.00297306094154,0.42186862792,0.42186862792,0.0050976642151,0.558646525704,0.558646525704,0.000271266233427
54,False,True,False,True,True,True,True,4,1,0.396770802629,0.396770802629,0.0741910612229,inf,inf,,0.990704707424,0.990704707424,0.0503044248287,0.443812357781,0.443812357781,0.00415718536671,0.563900876099,0.563900876099,0.0233852549638
55,False,False,True,True,True,True,True,4,1,0.252326961533,0.252326961533,0.0507114473483,inf,inf,,1.11291681577,1.11291681577,0.0235299772374,0.481112027801,0.481112027801,0.027594439861,0.619717484929,0.619717484929,0.0153886261521
